id,observed_on_string,observed_on,time_observed_at,time_zone,out_of_range,user_id,user_login,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,id_please,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id,hq
11106576,Wed Apr 18 2018 15:53:34 GMT+1000 (GMT+10),18/04/2018,2018-04-18 05:53:34 UTC,Brisbane,,856917,luke_waters1,2018-04-18 08:26:27 UTC,2018-04-19 11:04:59 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/11106576,https://static.inaturalist.org/photos/15694852/medium.jpg?1524039995,,,,FALSE,1,0,FALSE,3,"Amberdale Reserve, Picnic Point, NSW, AU",-33.97204519,151.0032185,27,,,FALSE,,,Christmas Senna,Senna pendula,Easter Cassia,Plantae,138577,Y
11147126,Sat Apr 14 2018 17:24:14 GMT+1000 (GMT+10),14/04/2018,2018-04-14 07:24:14 UTC,Brisbane,,846236,k_chvz,2018-04-19 02:04:00 UTC,2018-04-26 03:11:50 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/11147126,https://static.inaturalist.org/photos/15773039/medium.jpg?1524103538,,,"Thick leafs with rounded tip, yellow petals widely spread ",FALSE,1,0,FALSE,3,"1B Kings Road, Brighton-Le-Sands, NSW, AU",-33.96181628,151.148275,151,,,FALSE,,,Christmas Senna,Senna pendula,Easter Cassia,Plantae,138577,
11300473,Sun Apr 22 2018 12:52:53 GMT+1000 (GMT+10),22/04/2018,2018-04-22 02:52:53 UTC,Brisbane,,866427,julian52,2018-04-22 02:53:18 UTC,2019-01-27 23:53:53 UTC,research,,https://www.inaturalist.org/observations/11300473,https://static.inaturalist.org/photos/16079256/medium.jpg?1524365602,,,,FALSE,1,0,FALSE,3,"J J Melbourne Memorial Reserve, Terrey Hills, NSW, AU",-33.69092535,151.2258228,5,,,FALSE,,,Christmas Senna,Senna pendula,Easter Cassia,Plantae,138577,
11353418,Mon Apr 23 2018 14:27:26 GMT+1000 (GMT+10),23/04/2018,2018-04-23 04:27:26 UTC,Brisbane,,844653,ph1,2018-04-23 04:29:07 UTC,2018-04-23 06:25:27 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/11353418,https://static.inaturalist.org/photos/16175217/medium.jpg?1524457753,,,,FALSE,1,0,FALSE,3,"Tahlee 2324, , , AU",-32.66861107,151.9967503,8,,,FALSE,,,Christmas Senna,Senna pendula,Easter Cassia,Plantae,138577,
11415025,2018-04-15T15:38,15/04/2018,2018-04-15 05:38:00 UTC,Sydney,,828046,missp,2018-04-25 08:03:15 UTC,2019-08-21 10:41:09 UTC,research,CC-BY,https://www.inaturalist.org/observations/11415025,https://static.inaturalist.org/photos/16277550/medium.jpg?1524643396,,,,FALSE,2,0,FALSE,111,"Queensland, AU",-27.4346971,152.8110452,,obscured,open,TRUE,,,Easter Cassia,Senna pendula glabrata,Easter Cassia,Plantae,181665,
12678270,2018-05-20T11:39,20/05/2018,2018-05-20 01:39:00 UTC,Sydney,,944743,mrady,2018-05-21 15:24:38 UTC,2018-05-27 07:02:49 UTC,research,CC-BY,https://www.inaturalist.org/observations/12678270,https://static.inaturalist.org/photos/18350666/medium.jpg?1526916279,,,,FALSE,2,0,FALSE,111,"Queensland, AU",-27.54347448,153.0916235,,obscured,,TRUE,,,Christmas Senna,Senna pendula,Easter Cassia,Plantae,138577,
12678286,2018-05-20T11:32,20/05/2018,2018-05-20 01:32:00 UTC,Sydney,,944743,mrady,2018-05-21 15:24:56 UTC,2019-08-27 22:38:33 UTC,research,CC-BY,https://www.inaturalist.org/observations/12678286,https://static.inaturalist.org/photos/18350679/medium.jpg?1526916297,,,,FALSE,2,0,FALSE,111,"Queensland, AU",-27.42204623,153.0505436,,obscured,open,TRUE,,,Easter Cassia,Senna pendula glabrata,Easter Cassia,Plantae,181665,
12700548,Tue May 22 2018 13:14:39 GMT+1000 (GMT+10),22/05/2018,2018-05-22 03:14:39 UTC,Brisbane,,602922,bryophyte_forest,2018-05-22 05:06:56 UTC,2020-01-14 12:12:20 UTC,research,,https://www.inaturalist.org/observations/12700548,https://static.inaturalist.org/photos/18389046/medium.jpg?1526965689,,,I think?,FALSE,2,0,FALSE,3,"Samsonvale QLD 4520, Samsonvale, QLD, AU",-27.26835,152.8546,48,,open,FALSE,,,Christmas Senna,Senna pendula,Easter Cassia,Plantae,138577,Y
12944478,Wed May 30 2018 13:17:13 GMT+1000 (GMT+10),30/05/2018,2018-05-30 03:17:13 UTC,Brisbane,,882204,herbwolf,2018-05-30 03:17:52 UTC,2018-06-06 00:45:51 UTC,research,,https://www.inaturalist.org/observations/12944478,https://static.inaturalist.org/photos/18812672/medium.jpg?1527650275,,,,FALSE,1,0,FALSE,3,"7 Cribb Street, Landsborough, QLD, AU",-26.80776783,152.9659413,65,,,FALSE,,,Christmas Senna,Senna pendula,Easter Cassia,Plantae,138577,
13579555,2018-06-16T08:52,16/06/2018,2018-06-15 22:52:00 UTC,Sydney,,944743,mrady,2018-06-19 13:20:05 UTC,2018-06-27 08:02:57 UTC,research,CC-BY,https://www.inaturalist.org/observations/13579555,https://static.inaturalist.org/photos/19970970/medium.jpg?1529414406,,,Field Notes - seen in Melaluca reserve ,FALSE,2,0,FALSE,111,"Queensland, AU",-27.45752586,153.1426296,,obscured,,TRUE,,,Christmas Senna,Senna pendula,Easter Cassia,Plantae,138577,
13759814,23/06/2018 11:35,23/06/2018,2018-06-23 16:35:01 UTC,Bogota,,335657,laurapirateque,2018-06-25 02:40:36 UTC,2019-12-08 13:11:19 UTC,research,,https://www.inaturalist.org/observations/13759814,https://static.inaturalist.org/photos/20285026/medium.jpg?1529894423,,,,FALSE,2,0,FALSE,,lake mcdonald queensland,-26.39,152.939,5069,,open,FALSE,,google,Easter Cassia,Senna pendula glabrata,Easter Cassia,Plantae,181665,
14283776,2018/07/12 1:50 PM AEST,12/07/2018,2018-07-12 03:50:00 UTC,Brisbane,,661392,nicklambert,2018-07-12 10:23:10 UTC,2019-12-05 21:21:14 UTC,research,CC-BY-NC-SA,https://www.inaturalist.org/observations/14283776,https://static.inaturalist.org/photos/21208586/medium.jpeg?1531387707,,,,FALSE,2,0,FALSE,,"Nambucca Heads NSW 2448, Australia",-30.626035,153.005375,,,open,FALSE,,,Easter Cassia,Senna pendula glabrata,Easter Cassia,Plantae,181665,
14440878,2018/07/17 5:04 PM AEST,17/07/2018,2018-07-17 07:04:00 UTC,Brisbane,,661392,nicklambert,2018-07-17 12:08:32 UTC,2018-07-17 20:57:25 UTC,research,CC-BY-NC-SA,https://www.inaturalist.org/observations/14440878,https://static.inaturalist.org/photos/21491637/medium.jpeg?1531829075,,,,FALSE,1,0,FALSE,,"Valery NSW 2454, Australia",-30.38707667,152.9517717,,,,FALSE,,,Christmas Senna,Senna pendula,Easter Cassia,Plantae,138577,
14565176,2018-07-20 11:31:23 AM GMT+10:00,20/07/2018,2018-07-20 01:31:23 UTC,Brisbane,,518240,connorhawey,2018-07-21 07:42:02 UTC,2020-01-30 11:44:36 UTC,research,,https://www.inaturalist.org/observations/14565176,https://static.inaturalist.org/photos/21702009/medium.jpeg?1532158954,,,,FALSE,1,0,FALSE,2,"Samsonvale QLD 4520, Australia",-27.26851414,152.8520774,5,,open,FALSE,gps,gps,Christmas Senna,Senna pendula,Easter Cassia,Plantae,138577,
14825551,2018/07/24 2:32 PM AEST,24/07/2018,2018-07-24 04:32:00 UTC,Brisbane,,661392,nicklambert,2018-07-28 10:16:33 UTC,2018-07-28 20:57:03 UTC,research,CC-BY-NC-SA,https://www.inaturalist.org/observations/14825551,https://static.inaturalist.org/photos/22129839/medium.jpeg?1532771519,,,,FALSE,1,0,FALSE,,"Seaham NSW 2324, Australia",-32.66335872,151.7300817,8,,,FALSE,,,Christmas Senna,Senna pendula,Easter Cassia,Plantae,138577,
15446485,2018/08/13 5:23 PM AEST,13/08/2018,2018-08-13 07:23:00 UTC,Brisbane,,661392,nicklambert,2018-08-15 13:24:57 UTC,2018-08-15 21:55:53 UTC,research,CC-BY-NC-SA,https://www.inaturalist.org/observations/15446485,https://static.inaturalist.org/photos/23170909/medium.jpeg?1534339252,,,,FALSE,1,0,FALSE,,"Coffs Harbour NSW, Australia",-30.34607287,153.0742402,4,,,FALSE,,,Christmas Senna,Senna pendula,Easter Cassia,Plantae,138577,
16922296,Wed Sep 26 2018 12:19:21 GMT+1000 (GMT+10),26/09/2018,2018-09-26 02:19:21 UTC,Brisbane,,439324,lexibug,2018-09-26 03:12:13 UTC,2018-09-26 05:55:59 UTC,research,,https://www.inaturalist.org/observations/16922296,https://static.inaturalist.org/photos/25570247/medium.jpg?1537931740,,,,FALSE,1,0,FALSE,3,"4520, Samsonvale, QLD, AU",-27.27312183,152.8615441,957,,,FALSE,,,Christmas Senna,Senna pendula,Easter Cassia,Plantae,138577,
16960786,2018/09/22 2:44 PM AEST,22/09/2018,2018-09-22 04:44:00 UTC,Brisbane,,661392,nicklambert,2018-09-27 13:14:59 UTC,2018-09-27 20:06:09 UTC,research,CC-BY-NC-SA,https://www.inaturalist.org/observations/16960786,https://static.inaturalist.org/photos/25638159/medium.jpeg?1538053925,,,,FALSE,1,0,FALSE,,"Warringah, New South Wales, Australia",-33.61542333,151.2054,,,,FALSE,,,Christmas Senna,Senna pendula,Easter Cassia,Plantae,138577,
17549487,2018-10-16 12:58:36 pm AEDT,16/10/2018,2018-10-16 01:58:36 UTC,Sydney,,1128326,floydwafer,2018-10-16 02:45:36 UTC,2018-11-04 09:26:44 UTC,research,CC0,https://www.inaturalist.org/observations/17549487,https://static.inaturalist.org/photos/26719638/medium.jpeg?1539657940,,,,FALSE,1,0,FALSE,2,"Bingie Rd, Meringo NSW 2537, Australia",-35.98647633,150.1261323,66,,,FALSE,gps,gps,Christmas Senna,Senna pendula,Easter Cassia,Plantae,138577,
17555499,2018/10/16 1:16 PM AEDT,16/10/2018,2018-10-16 02:16:00 UTC,Sydney,,661392,nicklambert,2018-10-16 09:44:45 UTC,2018-10-16 10:23:15 UTC,research,CC-BY-NC-SA,https://www.inaturalist.org/observations/17555499,https://static.inaturalist.org/photos/26728172/medium.jpeg?1539682719,,,,FALSE,1,0,FALSE,,"Coffs Harbour NSW, Australia",-30.34820613,153.0853349,1,,,FALSE,,,Christmas Senna,Senna pendula,Easter Cassia,Plantae,138577,
17765699,2018/10/22 3:36 PM AEDT,22/10/2018,2018-10-22 04:36:00 UTC,Sydney,,661392,nicklambert,2018-10-23 09:12:54 UTC,2018-10-23 09:31:38 UTC,research,CC-BY-NC-SA,https://www.inaturalist.org/observations/17765699,https://static.inaturalist.org/photos/27100074/medium.jpeg?1540285376,,,,FALSE,1,0,FALSE,,"Coffs Harbour NSW, Australia",-30.3506287,153.085795,6,,,FALSE,,,Christmas Senna,Senna pendula,Easter Cassia,Plantae,138577,
17979903,Wed Oct 31 2018 10:32:48 GMT+1000 (GMT+10),31/10/2018,2018-10-31 00:32:48 UTC,Brisbane,,439324,lexibug,2018-10-31 04:06:41 UTC,2018-12-11 11:36:16 UTC,research,,https://www.inaturalist.org/observations/17979903,https://static.inaturalist.org/photos/27481723/medium.jpg?1540959040,,,,FALSE,3,0,FALSE,3,"Gold Scrub Lane, Samsonvale, QLD, AU",-27.26992534,152.8569529,1266,,,FALSE,,,Christmas Senna,Senna pendula,Easter Cassia,Plantae,138577,Y
18207333,2018/11/03 3:41 PM AEDT,3/11/2018,2018-11-03 04:41:00 UTC,Sydney,,661392,nicklambert,2018-11-07 10:37:29 UTC,2019-12-05 12:29:36 UTC,research,CC-BY-NC-SA,https://www.inaturalist.org/observations/18207333,https://static.inaturalist.org/photos/27821457/medium.jpeg?1541586747,,,,FALSE,1,0,FALSE,,"Seal Rocks NSW 2423, Australia",-32.45071769,152.5171436,8,,open,FALSE,,,Christmas Senna,Senna pendula,Easter Cassia,Plantae,138577,
18496337,2018/11/19 5:12 PM AEDT,19/11/2018,2018-11-19 06:12:00 UTC,Sydney,,661392,nicklambert,2018-11-19 14:09:24 UTC,2018-11-23 02:43:35 UTC,research,CC-BY-NC-SA,https://www.inaturalist.org/observations/18496337,https://static.inaturalist.org/photos/28287741/medium.jpeg?1542635420,,,,FALSE,1,0,FALSE,,"Coffs Harbour NSW, Australia",-30.35230313,153.1045601,2,,,FALSE,,,Easter Cassia,Senna pendula glabrata,Easter Cassia,Plantae,181665,
19124847,2018-12-18T19:19,18/12/2018,2018-12-18 08:19:00 UTC,Sydney,,196849,questagame,2018-12-20 22:48:10 UTC,2019-05-23 17:42:12 UTC,research,CC-BY,https://www.inaturalist.org/observations/19124847,https://static.inaturalist.org/photos/29356481/medium.jpeg?1545346092,,,"Sighting and photos (c) grisper.
Field Notes - A very common weed here",FALSE,2,0,FALSE,111,"Queensland, AU",-27.20533174,152.8691089,,obscured,open,TRUE,,,Easter Cassia,Senna pendula glabrata,Easter Cassia,Plantae,181665,
19206334,Tue Dec 25 2018 12:37:13 GMT+1000 (GMT+10),25/12/2018,2018-12-25 02:37:13 UTC,Brisbane,,1382585,michael1047,2018-12-25 02:37:22 UTC,2020-01-10 06:57:56 UTC,research,,https://www.inaturalist.org/observations/19206334,https://static.inaturalist.org/photos/29501385/medium.jpg?1545705445,,,,FALSE,2,0,FALSE,3,"Joe Bradfield Centre Park, Carina, QLD, AU",-27.49306091,153.0904577,5,,open,FALSE,,,Easter Cassia,Senna pendula glabrata,Easter Cassia,Plantae,181665,
19634071,Mon Jan 14 2019 16:19:08 GMT+1000 (GMT+10),14/01/2019,2019-01-14 06:19:08 UTC,Brisbane,,1329207,petrock,2019-01-14 06:19:23 UTC,2019-08-21 10:14:23 UTC,research,,https://www.inaturalist.org/observations/19634071,https://static.inaturalist.org/photos/30239289/medium.jpg?1547475518,,,,FALSE,2,0,FALSE,3,"1 Coonara Street, Holland Park, QLD, AU",-27.51247658,153.0662305,29,,open,FALSE,,,Christmas Senna,Senna pendula,Easter Cassia,Plantae,138577,
19826297,2018/11/01 11:28 PM PDT,1/11/2018,2018-11-02 06:28:00 UTC,Pacific Time (US & Canada),,6971,silversea_starsong,2019-01-23 18:54:39 UTC,2019-05-11 09:13:01 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/19826297,https://static.inaturalist.org/photos/30561716/medium.jpeg?1548269550,,,,FALSE,1,0,FALSE,,"Cairns  - City, Queensland, Australia",-16.901595,145.7608583,,,open,FALSE,,,Easter Cassia,Senna pendula glabrata,Easter Cassia,Plantae,181665,Y
20549867,2019-02-22 5:06:17 pm GMT+11:00,22/02/2019,2019-02-22 06:06:17 UTC,Asia/Magadan,,661392,nicklambert,2019-02-22 07:47:29 UTC,2019-02-22 08:03:25 UTC,research,CC-BY-NC-SA,https://www.inaturalist.org/observations/20549867,https://static.inaturalist.org/photos/31724440/medium.jpeg?1550821654,,,,FALSE,1,0,FALSE,2,"1 Park St, Sawtell NSW 2452, Australia",-30.37543728,153.1031833,10,,,FALSE,,,Christmas Senna,Senna pendula,Easter Cassia,Plantae,138577,Y
21016150,2019-03-07 3:33:54 p.m. GMT+11:00,7/03/2019,2019-03-07 04:33:54 UTC,Asia/Magadan,,1360732,jamesray,2019-03-07 04:42:19 UTC,2020-02-02 05:53:41 UTC,research,CC0,https://www.inaturalist.org/observations/21016150,https://static.inaturalist.org/photos/32461867/medium.jpeg?1551933745,,,,FALSE,1,0,FALSE,2,"219 Queen St, Hurlstone Park NSW 2193, Australia",-33.9059703,151.1267844,21,,open,FALSE,,,Easter Cassia,Senna pendula glabrata,Easter Cassia,Plantae,181665,
21043083,Thu Mar 07 2019 06:35:40 GMT+1100 (GMT+11),7/03/2019,2019-03-06 19:35:40 UTC,Asia/Magadan,,95068,karolina,2019-03-08 04:53:09 UTC,2019-07-02 07:08:27 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/21043083,https://static.inaturalist.org/photos/32509368/medium.jpg?1552020792,,,,FALSE,2,0,FALSE,3,"Robsons Road, Keiraville, NSW, AU",-34.40363,150.872025,32,,open,FALSE,,,Christmas Senna,Senna pendula,Easter Cassia,Plantae,138577,
21224968,Wed Mar 13 2019 09:18:19 GMT+1000 (GMT+10),13/03/2019,2019-03-12 23:18:19 UTC,Brisbane,,1526052,yvonneann,2019-03-14 05:42:40 UTC,2019-09-11 10:30:41 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/21224968,https://static.inaturalist.org/photos/32810530/medium.jpg?1552542177,,,,FALSE,2,0,FALSE,3,"2 Marti Court, Buderim, QLD, AU",-26.67759527,153.0647926,5,,open,FALSE,,,Christmas Senna,Senna pendula,Easter Cassia,Plantae,138577,
21224977,Wed Mar 13 2019 09:19:23 GMT+1000 (GMT+10),13/03/2019,2019-03-12 23:19:23 UTC,Brisbane,,1526052,yvonneann,2019-03-14 05:43:36 UTC,2019-03-31 10:07:22 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/21224977,https://static.inaturalist.org/photos/32810548/medium.jpg?1552542236,,,,FALSE,2,0,FALSE,3,"4 Marti Court, Buderim, QLD, AU",-26.67762838,153.0647912,5,,open,FALSE,,,Christmas Senna,Senna pendula,Easter Cassia,Plantae,138577,
21282410,2019-03-16T09:19,16/03/2019,2019-03-15 22:19:00 UTC,Sydney,,196849,questagame,2019-03-16 11:49:12 UTC,2019-09-14 11:51:36 UTC,research,CC-BY,https://www.inaturalist.org/observations/21282410,https://static.inaturalist.org/photos/32907351/medium.jpg?1552736954,,,"Sighting and photos (c) cherie.
Field Notes - found near walkway along coochin creek",FALSE,2,0,FALSE,111,"Caloundra - Rail Corridor, AU-QL, AU",-26.859975,152.940826,,,open,FALSE,,,Christmas Senna,Senna pendula,Easter Cassia,Plantae,138577,Y
21415297,2019-03-20 6:40:27 pm AEDT,20/03/2019,2019-03-20 07:40:27 UTC,Sydney,,793005,twan3253,2019-03-20 10:36:22 UTC,2019-03-26 13:06:41 UTC,research,CC-BY,https://www.inaturalist.org/observations/21415297,https://static.inaturalist.org/photos/33132118/medium.jpeg?1553078187,,,,FALSE,2,0,FALSE,2,"Riverside Walk, North Ryde NSW 2113, Australia",-33.79156113,151.1557465,,,open,FALSE,gps,gps,Christmas Senna,Senna pendula,Easter Cassia,Plantae,138577,Y
21548137,2019-03-24 6:17:19 pm AEDT,24/03/2019,2019-03-24 07:17:19 UTC,Sydney,,1128326,floydwafer,2019-03-24 07:52:55 UTC,2019-05-03 02:33:47 UTC,research,CC0,https://www.inaturalist.org/observations/21548137,https://static.inaturalist.org/photos/33349955/medium.jpeg?1553413979,,,??,FALSE,1,0,FALSE,2,"1 Coronation Dr, Moruya Heads NSW 2537, Australia",-35.90952444,150.1562975,263,,open,FALSE,gps,gps,Christmas Senna,Senna pendula,Easter Cassia,Plantae,138577,
21772788,2019/03/30 1:38 PM AEDT,30/03/2019,2019-03-30 02:38:00 UTC,Sydney,,661392,nicklambert,2019-03-30 11:55:00 UTC,2019-04-07 05:24:37 UTC,research,CC-BY-NC-SA,https://www.inaturalist.org/observations/21772788,https://static.inaturalist.org/photos/33723270/medium.jpeg?1553946495,,,,FALSE,1,0,FALSE,,"Coffs Harbour - Pt A, New South Wales, Australia",-30.37558333,153.10355,,,open,FALSE,,,Christmas Senna,Senna pendula,Easter Cassia,Plantae,138577,
22074560,Mon Apr 01 2019 16:20:11 GMT+1100 (GMT+11),1/04/2019,2019-04-01 05:20:11 UTC,Asia/Magadan,,1538465,beckychen,2019-04-06 10:09:41 UTC,2019-04-09 03:40:45 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/22074560,https://static.inaturalist.org/photos/34186444/medium.jpg?1554545407,,,,FALSE,1,0,FALSE,3,"Girrahween Park, Earlwood, NSW, AU",-33.92923667,151.13765,12,,open,FALSE,,,Christmas Senna,Senna pendula,Easter Cassia,Plantae,138577,
22185384,2019-04-08 5:00:56 pm AEST,8/04/2019,2019-04-08 07:00:56 UTC,Sydney,,1538051,ezekielm,2019-04-08 07:03:08 UTC,2019-04-09 03:06:40 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/22185384,https://static.inaturalist.org/photos/34349740/medium.jpeg?1554706992,,,"Species 4/10 for assignment.

Flowering plant with bright yellow petals and oval shaped leaves[ID Christmas Senna], found walking home from bus stop.",FALSE,1,0,FALSE,2,"2 North Ave, Cammeray NSW 2062, Australia",-33.81934026,151.212318,6,,open,FALSE,,,Christmas Senna,Senna pendula,Easter Cassia,Plantae,138577,Y
22191578,2019-04-06T11:50,6/04/2019,2019-04-06 01:50:00 UTC,Sydney,,196849,questagame,2019-04-08 13:39:42 UTC,2019-12-18 13:23:25 UTC,research,CC-BY,https://www.inaturalist.org/observations/22191578,https://static.inaturalist.org/photos/34359980/medium.jpeg?1554730785,,,"Sighting and photos (c) tubul.
",FALSE,1,0,FALSE,111,"Newcastle - Throsby, AU-NS, AU",-32.93213225,151.6989083,,,open,FALSE,,,Easter Cassia,Senna pendula glabrata,Easter Cassia,Plantae,181665,Y
22228003,2019-04-09 1:58:55 pm AEST,9/04/2019,2019-04-09 03:58:55 UTC,Brisbane,,1589246,sebsnow,2019-04-09 05:32:03 UTC,2019-04-10 20:30:19 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/22228003,https://static.inaturalist.org/photos/34420610/medium.jpeg?1554787951,,,Yellow flowering plant ,FALSE,1,0,FALSE,2,"Cascades Trail, Belrose NSW 2085, Australia",-33.73340644,151.1948998,33,,open,FALSE,gps,gps,Easter Cassia,Senna pendula glabrata,Easter Cassia,Plantae,181665,
22357677,Fri Apr 12 2019 13:55:23 GMT+1000 (GMT+10),12/04/2019,2019-04-12 03:55:23 UTC,Brisbane,,1601512,oliviabalogh,2019-04-12 03:55:38 UTC,2019-04-12 23:42:04 UTC,research,,https://www.inaturalist.org/observations/22357677,https://static.inaturalist.org/photos/34627953/medium.jpg?1555041345,,,,FALSE,1,0,FALSE,3,"29 Fisher Road, Point Clare, NSW, AU",-33.43637354,151.3257705,65,,open,FALSE,,,Easter Cassia,Senna pendula glabrata,Easter Cassia,Plantae,181665,
